accident_index,vehicle_reference,casualty_type,accident_year,accident_reference,longitude,latitude,accident_severity,number_of_casualties,date,local_authority_district,local_authority_ons_district,lsoa_of_accident_location,user_type,quarter,year_quarter
2019010155632,2,1,2019,10155632,-0.252843,51.421328,3,1,2019-01-03,23,E09000021,E01002953,Cyclist,1,2019_Q1
2019010155825,1,0,2019,10155825,-0.246266,51.535931,2,1,2019-01-04,28,E09000005,E01033485,Pedestrian,1,2019_Q1
2019010156691,1,0,2019,10156691,-0.128083,51.632564,3,1,2019-01-04,32,E09000010,E01001519,Pedestrian,1,2019_Q1
2019010157561,1,0,2019,10157561,0.026168,51.546487,2,1,2019-01-04,17,E09000025,E01003558,Pedestrian,1,2019_Q1
2019010155964,1,1,2019,10155964,0.07014,51.577886,3,1,2019-01-04,14,E09000026,E01003653,Cyclist,1,2019_Q1
2019010155821,1,0,2019,10155821,-0.006114,51.557283,3,1,2019-01-04,13,E09000031,E01004376,Pedestrian,1,2019_Q1
2019010155755,2,1,2019,10155755,-0.187128,51.502308,3,1,2019-01-04,12,E09000020,E01002826,Cyclist,1,2019_Q1
2019010155803,1,1,2019,10155803,-0.1954,51.539818,3,1,2019-01-04,2,E09000007,E01000933,Cyclist,1,2019_Q1
2019010155740,2,1,2019,10155740,-0.138061,51.534587,3,1,2019-01-04,2,E09000007,E01000947,Cyclist,1,2019_Q1
2019010155813,1,1,2019,10155813,-0.120148,51.511937,3,1,2019-01-04,1,E09000033,E01004735,Cyclist,1,2019_Q1
2019010155739,1,0,2019,10155739,-0.206265,51.567142,2,1,2019-01-04,30,E09000003,E01000135,Pedestrian,1,2019_Q1
2019010155722,2,1,2019,10155722,-0.139893,51.425175,3,1,2019-01-04,10,E09000032,E01004517,Cyclist,1,2019_Q1
2019010155668,1,1,2019,10155668,-0.021569,51.52759,3,1,2019-01-04,5,E09000030,E01004267,Cyclist,1,2019_Q1
2019010155781,1,0,2019,10155781,0.019092,51.406437,3,1,2019-01-04,19,E09000006,E01000825,Pedestrian,1,2019_Q1
2019010155765,1,0,2019,10155765,-0.28284,51.491311,3,1,2019-01-04,25,E09000018,E01002566,Pedestrian,1,2019_Q1
2019010155800,2,1,2019,10155800,-0.181406,51.528379,3,1,2019-01-04,1,E09000033,E01004726,Cyclist,1,2019_Q1
2019010155778,2,1,2019,10155778,-0.170096,51.486873,2,1,2019-01-04,12,E09000020,E01002844,Cyclist,1,2019_Q1
2019010155924,2,1,2019,10155924,-0.08299,51.532288,2,1,2019-01-05,4,E09000012,E01001784,Cyclist,1,2019_Q1
2019010155899,1,0,2019,10155899,0.057509,51.523801,2,1,2019-01-05,17,E09000025,E01003538,Pedestrian,1,2019_Q1
2019010155929,2,23,2019,10155929,-0.106941,51.584709,3,1,2019-01-05,31,E09000014,E01001998,E-scooter Rider,1,2019_Q1
2019010155940,1,0,2019,10155940,-0.104003,51.429708,3,1,2019-01-05,9,E09000022,E01003084,Pedestrian,1,2019_Q1
2019010155894,1,0,2019,10155894,-0.105591,51.598085,3,2,2019-01-05,31,E09000014,E01002033,Pedestrian,1,2019_Q1
2019010155891,1,1,2019,10155891,-0.228937,51.490923,3,1,2019-01-05,11,E09000013,E01001894,Cyclist,1,2019_Q1
2019010155883,2,1,2019,10155883,-0.323928,51.428715,3,1,2019-01-05,24,E09000027,E01003891,Cyclist,1,2019_Q1
2019010155882,1,0,2019,10155882,-0.407765,51.478749,3,1,2019-01-05,25,E09000018,E01002583,Pedestrian,1,2019_Q1
2019010155869,1,0,2019,10155869,-0.144524,51.478458,3,1,2019-01-05,10,E09000032,E01033132,Pedestrian,1,2019_Q1
2019010155866,2,1,2019,10155866,-0.298198,51.461446,3,1,2019-01-05,24,E09000027,E01003873,Cyclist,1,2019_Q1
2019010156082,1,0,2019,10156082,-0.1382,51.461533,3,1,2019-01-05,9,E09000022,E01003032,Pedestrian,1,2019_Q1
2019010155904,2,1,2019,10155904,-0.178078,51.432204,2,1,2019-01-05,10,E09000032,E01004615,Cyclist,1,2019_Q1
2019010155926,1,0,2019,10155926,-0.202764,51.531145,3,1,2019-01-05,1,E09000033,E01004723,Pedestrian,1,2019_Q1
2019010159010,1,1,2019,10159010,-0.017006,51.449779,3,1,2019-01-06,7,E09000023,E01003325,Cyclist,1,2019_Q1
2019010156017,1,0,2019,10156017,-0.142084,51.515461,3,1,2019-01-06,1,E09000033,E01033595,Pedestrian,1,2019_Q1
2019010156050,2,1,2019,10156050,-0.409152,51.44715,3,1,2019-01-06,25,E09000018,E01002612,Cyclist,1,2019_Q1
2019010156027,1,0,2019,10156027,-0.036445,51.475727,3,1,2019-01-06,7,E09000023,E01003303,Pedestrian,1,2019_Q1
2019010155976,1,0,2019,10155976,0.0582,51.521226,3,1,2019-01-06,17,E09000025,E01003540,Pedestrian,1,2019_Q1
2019010155974,1,0,2019,10155974,-0.301634,51.552239,3,1,2019-01-06,28,E09000005,E01000634,Pedestrian,1,2019_Q1
2019010155973,1,0,2019,10155973,-0.188727,51.47906,2,1,2019-01-06,11,E09000013,E01001921,Pedestrian,1,2019_Q1
2019010155968,1,0,2019,10155968,-0.12856,51.432872,3,1,2019-01-06,9,E09000022,E01003153,Pedestrian,1,2019_Q1
2019010156213,1,1,2019,10156213,-0.093727,51.539289,3,1,2019-01-07,3,E09000019,E01002797,Cyclist,1,2019_Q1
2019010158539,1,0,2019,10158539,0.046358,51.531658,3,1,2019-01-07,17,E09000025,E01003524,Pedestrian,1,2019_Q1
2019010156502,1,1,2019,10156502,-0.134857,51.49763,3,1,2019-01-07,1,E09000033,E01004731,Cyclist,1,2019_Q1
2019010156405,1,1,2019,10156405,0.017517,51.377481,3,1,2019-01-07,19,E09000006,E01000765,Cyclist,1,2019_Q1
2019010156292,1,0,2019,10156292,-0.180081,51.480266,3,1,2019-01-07,12,E09000020,E01002841,Pedestrian,1,2019_Q1
2019010156265,1,0,2019,10156265,-0.346336,51.407712,3,1,2019-01-07,24,E09000027,E01003823,Pedestrian,1,2019_Q1
2019010157524,1,0,2019,10157524,0.109741,51.487045,3,1,2019-01-07,6,E09000011,E01001573,Pedestrian,1,2019_Q1
2019010156204,1,0,2019,10156204,0.060605,51.555015,2,1,2019-01-07,17,E09000025,E01003576,Pedestrian,1,2019_Q1
2019010156165,1,0,2019,10156165,-0.378479,51.506628,3,1,2019-01-07,27,E09000009,E01001362,Pedestrian,1,2019_Q1
2019010156192,1,0,2019,10156192,-0.122946,51.459635,3,1,2019-01-07,9,E09000022,E01003020,Pedestrian,1,2019_Q1
2019010156052,2,1,2019,10156052,-0.301764,51.540614,3,1,2019-01-07,28,E09000005,E01000475,Cyclist,1,2019_Q1
2019010156164,1,1,2019,10156164,-0.134473,51.557075,3,1,2019-01-07,3,E09000019,E01002789,Cyclist,1,2019_Q1
2019010156071,1,0,2019,10156071,-0.099972,51.476945,3,1,2019-01-07,9,E09000022,E01003919,Pedestrian,1,2019_Q1
2019010156072,1,0,2019,10156072,0.102622,51.537066,3,1,2019-01-07,16,E09000002,E01000042,Pedestrian,1,2019_Q1
2019010156138,2,1,2019,10156138,-0.171266,51.37976,3,1,2019-01-07,21,E09000029,E01004127,Cyclist,1,2019_Q1
2019010156081,1,0,2019,10156081,-0.147713,51.45127,1,1,2019-01-07,10,E09000032,E01004476,Pedestrian,1,2019_Q1
2019010156090,1,0,2019,10156090,-0.131062,51.527336,3,1,2019-01-07,2,E09000007,E01000945,Pedestrian,1,2019_Q1
2019010156203,1,0,2019,10156203,-0.091219,51.653588,3,3,2019-01-07,32,E09000010,E01001457,Pedestrian,1,2019_Q1
2019010156096,1,0,2019,10156096,-0.037313,51.567134,3,1,2019-01-07,13,E09000031,E01004422,Pedestrian,1,2019_Q1
2019010156167,1,1,2019,10156167,-0.144585,51.576605,3,1,2019-01-07,31,E09000014,E01002011,Cyclist,1,2019_Q1
2019010156114,2,1,2019,10156114,-0.13246,51.463897,3,1,2019-01-07,9,E09000022,E01003035,Cyclist,1,2019_Q1
2019010156185,1,0,2019,10156185,-0.325346,51.576266,3,1,2019-01-07,28,E09000005,E01000568,Pedestrian,1,2019_Q1
2019010156120,1,0,2019,10156120,-0.071472,51.523709,3,1,2019-01-07,5,E09000030,E01004317,Pedestrian,1,2019_Q1
2019010156186,1,0,2019,10156186,-0.203102,51.532823,3,1,2019-01-07,28,E09000005,E01004723,Pedestrian,1,2019_Q1
2019010156136,1,1,2019,10156136,-0.191065,51.548762,3,1,2019-01-07,2,E09000007,E01000972,Cyclist,1,2019_Q1
2019010170537,1,1,2019,10170537,-0.07239,51.48627,3,1,2019-01-08,8,E09000028,E01003964,Cyclist,1,2019_Q1
2019010156432,1,0,2019,10156432,-0.192491,51.536446,2,1,2019-01-08,28,E09000005,E01000550,Pedestrian,1,2019_Q1
2019480843067,1,0,2019,480843067,-0.092049,51.51392,3,1,2019-01-08,570,E09000001,E01032739,Pedestrian,1,2019_Q1
2019010156530,1,0,2019,10156530,-0.112215,51.501648,3,1,2019-01-08,9,E09000022,E01032582,Pedestrian,1,2019_Q1
2019010157736,1,1,2019,10157736,-0.086107,51.574514,3,1,2019-01-08,4,E09000012,E01001811,Cyclist,1,2019_Q1
2019010157509,1,0,2019,10157509,-0.228241,51.649099,3,1,2019-01-08,30,E09000003,E01000253,Pedestrian,1,2019_Q1
2019010157381,1,0,2019,10157381,0.051402,51.532577,2,1,2019-01-08,17,E09000025,E01003525,Pedestrian,1,2019_Q1
2019010156587,1,0,2019,10156587,-0.12402,51.508204,3,1,2019-01-08,1,E09000033,E01004736,Pedestrian,1,2019_Q1
2019010156421,1,1,2019,10156421,-0.102467,51.477893,3,1,2019-01-08,9,E09000022,E01003180,Cyclist,1,2019_Q1
2019010156417,1,0,2019,10156417,-0.056145,51.427251,3,1,2019-01-08,7,E09000023,E01003334,Pedestrian,1,2019_Q1
2019010156246,2,1,2019,10156246,-0.183698,51.473694,3,1,2019-01-08,11,E09000013,E01001939,Cyclist,1,2019_Q1
2019010156291,2,1,2019,10156291,-0.245347,51.556456,3,1,2019-01-08,28,E09000005,E01000511,Cyclist,1,2019_Q1
2019010156294,2,1,2019,10156294,-0.228494,51.501978,3,1,2019-01-08,11,E09000013,E01001896,Cyclist,1,2019_Q1
2019010156305,1,0,2019,10156305,-0.058834,51.596484,2,1,2019-01-08,31,E09000014,E01002076,Pedestrian,1,2019_Q1
2019010156320,1,0,2019,10156320,-0.138065,51.461666,3,1,2019-01-08,9,E09000022,E01003032,Pedestrian,1,2019_Q1
2019010156322,2,1,2019,10156322,-0.229233,51.468392,2,1,2019-01-08,10,E09000032,E01004604,Cyclist,1,2019_Q1
2019010156334,1,1,2019,10156334,-0.126041,51.572714,3,1,2019-01-08,3,E09000019,E01002755,Cyclist,1,2019_Q1
2019010156353,1,0,2019,10156353,-0.018862,51.61086,3,1,2019-01-08,13,E09000031,E01004455,Pedestrian,1,2019_Q1
2019010156363,1,0,2019,10156363,-0.131186,51.602075,3,1,2019-01-08,31,E09000014,E01001962,Pedestrian,1,2019_Q1
2019010156372,1,0,2019,10156372,-0.218112,51.504392,2,1,2019-01-08,11,E09000013,E01001943,Pedestrian,1,2019_Q1
2019010156420,1,0,2019,10156420,-0.013909,51.428944,3,1,2019-01-08,7,E09000023,E01003352,Pedestrian,1,2019_Q1
2019010156380,1,0,2019,10156380,-0.076196,51.654341,2,1,2019-01-08,32,E09000010,E01001544,Pedestrian,1,2019_Q1
2019010156389,1,0,2019,10156389,-0.1941,51.522748,2,1,2019-01-08,1,E09000033,E01004755,Pedestrian,1,2019_Q1
2019010156390,1,1,2019,10156390,-0.169206,51.594572,3,1,2019-01-08,30,E09000003,E01000178,Cyclist,1,2019_Q1
2019010156394,1,0,2019,10156394,0.057016,51.525662,3,1,2019-01-08,17,E09000025,E01003542,Pedestrian,1,2019_Q1
2019010156397,1,1,2019,10156397,0.111559,51.570637,3,1,2019-01-08,14,E09000026,E01003773,Cyclist,1,2019_Q1
